tract,Name,City,State,Teenage_Birth_Rate_women_only_rP_gF_p50
34013003100,Springfield/Belmont, Newark, NJ,0.6491
34013003900,Springfield/Belmont, Newark, NJ,0.5755
36005002300,Bronx County, NY,,0.5718
34013001400,Fairmount, Newark, NJ,0.5701
36047050700,Kings County, NY,,0.559
34013008200,University Heights, Newark, NJ,0.5455
36005014500,Bronx County, NY,,0.5152
34013004300,Upper Clinton Hill, Newark, NJ,0.5128
36005014300,Bronx County, NY,,0.5078
34013001600,Fairmount, Newark, NJ,0.5044
36005003300,Bronx County, NY,,0.5009
34013022800,Springfield/Belmont, Newark, NJ,0.4983
36061002202,Alphabet City, New York, NY,0.4921
34013004400,Weequahic, Newark, NJ,0.491
34013002800,West Side, Newark, NJ,0.4877
34013003700,West Side, Newark, NJ,0.4812
34013001800,Fairmount, Newark, NJ,0.4812
34013003500,West Side, Newark, NJ,0.4733
34013002600,West Side, Newark, NJ,0.4713
36047113000,Kings County, NY,,0.4671
36047121000,Kings County, NY,,0.4656
36081026000,Queens County, NY,,0.4621
36047026300,Kings County, NY,,0.4585
34013022700,South Broad Street, Newark, NJ,0.4538
36047113400,Kings County, NY,,0.4506
34013004200,Upper Clinton Hill, Newark, NJ,0.4439
36005005100,Bronx County, NY,,0.4433
36061020600,East Harlem, New York, NY,0.4433
36005036100,Bronx County, NY,,0.4407
36047114600,Kings County, NY,,0.4407
36005011900,Bronx County, NY,,0.4402
36047002300,Kings County, NY,,0.4388
34013023200,South Broad Street, Newark, NJ,0.4339
36047091000,Kings County, NY,,0.4275
36005023702,Bronx County, NY,,0.4239
36047003300,Kings County, NY,,0.423
36005014702,Bronx County, NY,,0.4197
36047036100,Kings County, NY,,0.4185
36061018000,East Harlem, New York, NY,0.4181
36047035200,Kings County, NY,,0.4179
36005013500,Bronx County, NY,,0.4172
34013005100,Weequahic, Newark, NJ,0.4143
36005022703,Bronx County, NY,,0.4134
36047002901,Kings County, NY,,0.4128
36047037500,Kings County, NY,,0.4109
36047115600,Kings County, NY,,0.4093
36081097203,Queens County, NY,,0.4089
34013009600,North Broadway, Newark, NJ,0.4049
36047005300,Kings County, NY,,0.4048
36047023500,Kings County, NY,,0.404
36005021100,Bronx County, NY,,0.4035
36047038700,Kings County, NY,,0.4013
34017005801,Greenville, Jersey City, NJ,0.4009
36047036502,Kings County, NY,,0.4007
34013001100,University Heights, Newark, NJ,0.4
34013010700,East Orange, NJ,,0.3998
36081078800,Queens County, NY,,0.3941
34017001701,West Side, Jersey City, NJ,0.3938
34013013200,Irvington, NJ,,0.3929
36005007300,Bronx County, NY,,0.3903
36005021700,Bronx County, NY,,0.3896
36005006700,Bronx County, NY,,0.3887
34013003800,West Side, Newark, NJ,0.3864
36005008500,Bronx County, NY,,0.3854
34017006700,Bergen/Lafayette, Jersey City, NJ,0.3847
34013005300,Upper Clinton Hill, Newark, NJ,0.3824
34013001900,Lower Vailsburg, Newark, NJ,0.382
36005007900,Bronx County, NY,,0.3819
36047038500,Kings County, NY,,0.3811
34017005500,Greenville, Jersey City, NJ,0.3809
36047026900,Kings County, NY,,0.3803
36047048900,Kings County, NY,,0.3795
36081050600,Queens County, NY,,0.3785
36047055100,Kings County, NY,,0.3764
36005014701,Bronx County, NY,,0.3759
34013010300,East Orange, NJ,,0.3757
36047037100,Kings County, NY,,0.3753
34013018400,City of Orange, NJ,,0.375
34017006800,Bergen/Lafayette, Jersey City, NJ,0.3747
34013013300,Irvington, NJ,,0.3738
36005005002,Bronx County, NY,,0.3736
36005036700,Bronx County, NY,,0.3735
34013002500,Lower Vailsburg, Newark, NJ,0.3733
34013004700,Weequahic, Newark, NJ,0.3733
36061022200,Upper Manhattan, New York, NY,0.3728
36005017500,Bronx County, NY,,0.3726
34013000900,Lower Roseville, Newark, NJ,0.3707
36047024900,Kings County, NY,,0.3697
34013009200,Mount Pleasant/Lower Broadway, Newark, NJ,0.3695
36005004800,Bronx County, NY,,0.3693
36005002701,Bronx County, NY,,0.3692
34013010900,East Orange, NJ,,0.3688
36005009300,Bronx County, NY,,0.3675
36047042100,Kings County, NY,,0.3666
36085013301,Richmond County, NY,,0.3662
34013004801,Weequahic, Newark, NJ,0.3661
36061021500,Harlem, New York, NY,0.3661
36005015500,Bronx County, NY,,0.366
36047030300,Kings County, NY,,0.3658
34013004600,Weequahic, Newark, NJ,0.3642
34013004900,Weequahic, Newark, NJ,0.3639
34013005000,South Broad Street, Newark, NJ,0.3638
34031182100,Paterson, NJ,,0.363
36061022900,Harlem, New York, NY,0.363
36005017901,Bronx County, NY,,0.3629
36005024300,Bronx County, NY,,0.3618
36081008700,Queens County, NY,,0.3615
36047039700,Kings County, NY,,0.36
34017005300,Bergen/Lafayette, Jersey City, NJ,0.3597
36047001500,Kings County, NY,,0.358
36005018500,Bronx County, NY,,0.3577
36005004100,Bronx County, NY,,0.3574
34013023100,West Side, Newark, NJ,0.3565
34013011300,East Orange, NJ,,0.3559
36047025500,Kings County, NY,,0.3534
36081019600,Queens County, NY,,0.3534
36047112600,Kings County, NY,,0.3526
36005001900,Bronx County, NY,,0.352
34039030400,Elizabeth, NJ,,0.3518
36005016500,Bronx County, NY,,0.3516
34013012600,Irvington, NJ,,0.351
34013006600,Springfield/Belmont, Newark, NJ,0.3502
34039030200,Elizabeth, NJ,,0.3496
36047025700,Kings County, NY,,0.3491
34013001700,Fairmount, Newark, NJ,0.3491
36005036902,Bronx County, NY,,0.3491
34013018100,City of Orange, NJ,,0.3487
36061025900,Harlem, New York, NY,0.3486
36047018501,Kings County, NY,,0.3477
34031175200,Passaic, NJ,,0.3476
36047098200,Kings County, NY,,0.3471
36119002700,South Side, Mount Vernon, NY,0.3466
36005013300,Bronx County, NY,,0.3462
34013010800,East Orange, NJ,,0.3456
36061018400,Upper Manhattan, New York, NY,0.3445
34039039300,Plainfield, NJ,,0.3439
36061021600,Harlem, New York, NY,0.3432
36047115200,Kings County, NY,,0.3426
36047042700,Kings County, NY,,0.3425
36085031901,Richmond County, NY,,0.3421
36047091200,Kings County, NY,,0.3412
36047028900,Kings County, NY,,0.3409
36005045800,Bronx County, NY,,0.3403
34013008100,Central Business District, Newark, NJ,0.3402
36005019900,Bronx County, NY,,0.3401
34013011600,East Orange, NJ,,0.3392
34013010600,East Orange, NJ,,0.339
36047008500,Kings County, NY,,0.3388
36005016900,Bronx County, NY,,0.3387
34013001500,Fairmount, Newark, NJ,0.3377
36047027300,Kings County, NY,,0.3377
36061022800,Harlem, New York, NY,0.3365
36005004300,Bronx County, NY,,0.3356
36005002702,Bronx County, NY,,0.335
36047034000,Kings County, NY,,0.3348
36005005300,Bronx County, NY,,0.3347
36081008100,Queens County, NY,,0.3341
36047023300,Kings County, NY,,0.3337
36047029100,Kings County, NY,,0.3333
34017004102,McGinley Square, Jersey City, NJ,0.3333
36047012000,Kings County, NY,,0.3325
36061020901,Harlem, New York, NY,0.3301
36005005001,Bronx County, NY,,0.3294
36005006200,Bronx County, NY,,0.3293
36047034300,Kings County, NY,,0.3292
36005042902,Bronx County, NY,,0.3283
34013013100,Irvington, NJ,,0.3277
34013001000,University Heights, Newark, NJ,0.3273
36005023100,Bronx County, NY,,0.3258
36047044900,Kings County, NY,,0.3255
34013011100,East Orange, NJ,,0.3254
36059407201,Hempstead, NY,,0.325
36061020000,Upper Manhattan, New York, NY,0.3245
34031182900,Paterson, NJ,,0.3241
36081027000,Queens County, NY,,0.3236
36061026100,Upper Manhattan, New York, NY,0.3235
34013023000,West Side, Newark, NJ,0.3235
34013006700,South Broad Street, Newark, NJ,0.3233
34023009300,New Brunswick, NJ,,0.3231
36047025300,Kings County, NY,,0.3228
34039034400,Roselle, NJ,,0.3226
36005018900,Bronx County, NY,,0.3226
36047121400,Kings County, NY,,0.3219
36047090600,Kings County, NY,,0.3211
36061020102,Harlem, New York, NY,0.3209
36047027100,Kings County, NY,,0.3204
36047123700,Kings County, NY,,0.32
34013006200,Springfield/Belmont, Newark, NJ,0.3195
36061017800,East Harlem, New York, NY,0.319
36047039500,Kings County, NY,,0.3189
34013011500,East Orange, NJ,,0.3177
34031175802,Passaic, NJ,,0.3173
34039039000,Plainfield, NJ,,0.317
36047092400,Kings County, NY,,0.317
34039039400,Plainfield, NJ,,0.3168
36047029900,Kings County, NY,,0.3159
34017005200,Greenville, Jersey City, NJ,0.3155
36047043900,Kings County, NY,,0.3154
36081027800,Queens County, NY,,0.3152
36047029500,Kings County, NY,,0.3142
36085002900,Richmond County, NY,,0.3133
36047036501,Kings County, NY,,0.3133
36047021900,Kings County, NY,,0.3131
36047007100,Kings County, NY,,0.3127
34013004100,Upper Clinton Hill, Newark, NJ,0.3126
36047003500,Kings County, NY,,0.3125
36047024500,Kings County, NY,,0.3121
34013011400,East Orange, NJ,,0.3119
36005040600,Bronx County, NY,,0.3115
36005025100,Bronx County, NY,,0.3113
36047028300,Kings County, NY,,0.3112
34013022900,University Heights, Newark, NJ,0.311
34013010400,East Orange, NJ,,0.3107
36005020900,Bronx County, NY,,0.3105
36081020200,Queens County, NY,,0.3103
36047028700,Kings County, NY,,0.3101
34017004600,Bergen/Lafayette, Jersey City, NJ,0.31
36047042900,Kings County, NY,,0.3096
36081002500,Queens County, NY,,0.309
36047009800,Kings County, NY,,0.3088
36047117000,Kings County, NY,,0.3085
34023004600,Perth Amboy, NJ,,0.3083
34013011200,East Orange, NJ,,0.3081
36005020100,Bronx County, NY,,0.308
36047012700,Kings County, NY,,0.3075
36047027900,Kings County, NY,,0.3075
36081017200,Queens County, NY,,0.3074
36047028502,Kings County, NY,,0.3073
36005040100,Bronx County, NY,,0.3073
36061024200,East Harlem, New York, NY,0.3067
36005003500,Bronx County, NY,,0.3064
36061021303,Upper Manhattan, New York, NY,0.306
36047050801,Kings County, NY,,0.305
36081027200,Queens County, NY,,0.3042
36061024500,Upper Manhattan, New York, NY,0.3038
36047042300,Kings County, NY,,0.3037
36047038100,Kings County, NY,,0.3034
36061021800,Upper Manhattan, New York, NY,0.3034
34017003000,McGinley Square, Jersey City, NJ,0.3033
34013004802,Dayton/Weequahic Park, Newark, NJ,0.3031
34031175402,Passaic, NJ,,0.3026
36047051002,Kings County, NY,,0.3024
36047089600,Kings County, NY,,0.3024
36047026100,Kings County, NY,,0.3021
36005011502,Bronx County, NY,,0.3021
36005037300,Bronx County, NY,,0.3018
36061024301,Upper Manhattan, New York, NY,0.3016
34013012800,Irvington, NJ,,0.3013
34013009100,Seventh Avenue, Newark, NJ,0.3007
36005037900,Bronx County, NY,,0.3007
36047043300,Kings County, NY,,0.3006
36005022101,Bronx County, NY,,0.3005
34013002300,Lower Vailsburg, Newark, NJ,0.3003
36005007500,Bronx County, NY,,0.3
36005008900,Bronx County, NY,,0.2998
36005022901,Bronx County, NY,,0.2996
36047111800,Kings County, NY,,0.2996
36005021502,Bronx County, NY,,0.299
34017004400,Bergen/Lafayette, Jersey City, NJ,0.2987
36047033900,Kings County, NY,,0.2986
36005035900,Bronx County, NY,,0.2986
36005022500,Bronx County, NY,,0.2983
36081051600,Queens County, NY,,0.2982
34039038800,Plainfield, NJ,,0.2975
36005015100,Bronx County, NY,,0.2961
36061018200,East Harlem, New York, NY,0.2957
34013008000,Central Business District, Newark, NJ,0.2954
36061017402,East Harlem, New York, NY,0.2953
36047107800,Kings County, NY,,0.2947
36005017701,Bronx County, NY,,0.2946
36047091800,Kings County, NY,,0.294
36081018401,Queens County, NY,,0.2938
36061018600,Harlem, New York, NY,0.293
34017015001,Guttenberg, NJ,,0.2929
36047113200,Kings County, NY,,0.2928
36047023100,Kings County, NY,,0.2926
36047050803,Kings County, NY,,0.2926
36047052700,Kings County, NY,,0.2926
36005024100,Bronx County, NY,,0.2923
36005015700,Bronx County, NY,,0.2919
34013010500,East Orange, NJ,,0.2918
36047112200,Kings County, NY,,0.2917
36081017600,Queens County, NY,,0.2915
34013006400,University Heights, Newark, NJ,0.2912
36005015900,Bronx County, NY,,0.2911
36061019400,East Harlem, New York, NY,0.2908
34013002000,Lower Vailsburg, Newark, NJ,0.2906
36047115000,Kings County, NY,,0.2906
36081017000,Queens County, NY,,0.2905
36061024900,Upper Manhattan, New York, NY,0.2903
36005039700,Bronx County, NY,,0.2899
34013005400,Upper Clinton Hill, Newark, NJ,0.2896
36005012101,Bronx County, NY,,0.2894
36005015300,Bronx County, NY,,0.2886
34039039500,Plainfield, NJ,,0.2884
36047079802,Kings County, NY,,0.2881
36005023501,Bronx County, NY,,0.2875
36059406801,Hempstead, NY,,0.2874
36047030100,Kings County, NY,,0.2871
36005022902,Bronx County, NY,,0.287
36047119600,Kings County, NY,,0.2868
36047093200,Kings County, NY,,0.2865
36005012102,Bronx County, NY,,0.2861
36047037300,Kings County, NY,,0.2859
36005017300,Bronx County, NY,,0.2856
36047041300,Kings County, NY,,0.2855
36061023000,Harlem, New York, NY,0.2855
36061022600,Harlem, New York, NY,0.2854
34013018700,City of Orange, NJ,,0.2852
34039038900,Plainfield, NJ,,0.2849
36005022403,Bronx County, NY,,0.284
36061021400,Upper Manhattan, New York, NY,0.2839
36047031500,Kings County, NY,,0.2838
36005024502,Bronx County, NY,,0.2834
36005013100,Bronx County, NY,,0.2834
36047079602,Kings County, NY,,0.2834
36047026700,Kings County, NY,,0.2827
34013000800,Lower Roseville, Newark, NJ,0.2825
36061023200,Harlem, New York, NY,0.2819
34013011700,East Orange, NJ,,0.2819
36047034200,Kings County, NY,,0.2816
34013018800,City of Orange, NJ,,0.2812
36047030900,Kings County, NY,,0.281
34013010000,East Orange, NJ,,0.2809
36047116800,Kings County, NY,,0.2806
36005018302,Bronx County, NY,,0.2805
34013012900,Irvington, NJ,,0.2803
36061021000,East Harlem, New York, NY,0.2802
